criterion,n_pos,coverage,coverage_on_violations,target,avg_set_size,empty_set_rate
Head_without_covering,288,0.92,0.965,0.9,0.921,0.079
Eyes_open,484,0.92,0.979,0.9,0.926,0.074
No_sunglasses,245,0.921,0.735,0.9,0.922,0.078
No_posterization,310,0.909,0.452,0.9,0.909,0.091
Gaze_in_camera,611,0.912,0.886,0.9,0.943,0.057
Neutral_expression,309,0.906,0.839,0.9,0.929,0.071
In_focus,311,0.89,0.629,0.9,0.89,0.11
Correct_exposure,311,0.906,0.935,0.9,1.036,0.0
No_or_light_makeup,197,0.89,0.923,0.9,0.892,0.108
No_pixelation,311,0.882,0.629,0.9,0.883,0.117
Frontal_pose,146,0.88,0.966,0.9,1.058,0.0
Correct_saturation,311,0.89,0.857,0.9,0.907,0.093
Uniform_background,267,0.922,0.887,0.9,1.049,0.0
Uniform_face_lighting,149,0.886,0.833,0.9,1.014,0.0
